Symbol,Issue Size No. of Shares,Price Band,Market Lot
ENTERO,"71,50,100",1195.00-1258.00,11
CAPITALSFB,"81,47,373",445.00-468.00,11
JSFB,"1,01,16,284",393.00-414.00,32
RPTECH,"1,42,37,289",393.00-414.00,36
PARKHOTELS,"1,42,37,289",295.00-311.00,48
BLSE,"3,47,61,903",147.00-155.00,96
BLSE,"1,37,02,904",129.00-135.00,108
HARSHDEEP,"30,36,000",42.00-45.00,3000
NOVAAGRI,"2,54,14,746",39.00-41.00,3000
EPACK,"1,99,77,615",218.00-230.00,365
EUPHORIA,"9,60,000",218.00-230.00,65
MEDIASSIST,"9,60,000",96.00-100.00,1200
SWANAGRO,"1,96,19,719",397.00-418.00,35
SWANAGRO,"35,88,000",62.00-66.00,2000
JYOTICNC,"1,75,39,681",315.00-331.00,45
SBVCL,"15,46,800",95.00-100.00,45
INNOVACAP,"1,30,92,094",426.00-448.00,1200
AZAD,"1,01,22,705",426.00-448.00,33
MUFTI,"1,01,22,705",499.00-524.00,28
HAPPYFORGE,"1,37,44,472",266.00-280.00,53
HAPPYFORGE,"83,65,639",808.00-850.00,17
RBZJEWEL,"79,00,000",95.00-100.00,150
SHANTIDENM,"31,92,000",66.00-70.00,150
MOTISONS,"2,08,71,000",52.00-55.00,2000
MML,"2,43,87,447",52.00-55.00,250
SURAJEST,"2,43,87,447",277.00-291.00,51
INOXINDIA,"82,35,293",340.00-360.00,41
INOXINDIA,"1,54,77,670",627.00-660.00,22
SIYARAM,"35,70,000",43.00-46.00,3000
DOMS,"88,37,407",750.00-790.00,3000
INDIASHLTR,"1,79,10,449",469.00-493.00,18
AMIC,"19,76,000",469.00-493.00,30
DEEPAKCHEM,"19,76,000",121.00-126.00,1000
SPL,"20,62,400",76.00-80.00,1600
SPL,"47,39,200",80.00-86.00,1600
FEDFINA,"5,59,23,660",133.00-140.00,107
FLAIR,"1,44,13,188",288.00-304.00,107
GANDHAR,"2,12,43,940",160.00-169.00,49
TATATECH,"4,50,29,207",160.00-169.00,88
IREDA,"4,50,29,207",475.00-500.00,30
KALYANI,"46,90,46,031",30.00-32.00,460
KALYANI,"16,26,000",137.00-139.00,1000
ASKAUTO,"2,06,99,974",268.00-282.00,53
PROTEAN,"43,78,700",752.00-792.00,53
ESAFSFB,"5,53,24,562",57.00-60.00,18
HONASA,"2,88,99,514",57.00-60.00,250
CELLO,"2,88,99,514",308.00-324.00,46
BLUEJET,"2,20,61,947",617.00-648.00,23
BLUEJET,"1,69,99,612",329.00-346.00,43
IRMENERGY,"76,24,800",480.00-505.00,29
PWL,"1,32,00,158",51.00-54.00,29
VALIANTLAB,"76,23,030",133.00-140.00,277
JSWINFRA,"13,62,83,186",133.00-140.00,105
UDS,"13,62,83,186",113.00-119.00,126
MVGJL,"1,19,99,999",280.00-300.00,50
MVGJL,"91,20,664",204.00-215.00,69
KALAMANDIR,"3,84,86,309",210.00-222.00,67
SIGNATURE,"1,12,43,196",366.00-385.00,67
YATRA,"3,09,42,356",135.00-142.00,38
SAMHI,"6,25,29,831",135.00-142.00,105
ZAGGLE,"6,25,29,831",119.00-126.00,119
RRKABEL,"1,93,26,761",156.00-164.00,90
RRKABEL,"1,33,17,737",983.00-1035.00,14
EMSLIMITED,"1,07,87,431",200.00-211.00,70
JLHL,"84,97,169",695.00-735.00,70
RATNAVEER,"1,17,88,000",93.00-98.00,20
RISHABH,"77,90,202",93.00-98.00,150
VPRPL,"77,90,202",418.00-441.00,34
AEROFLEX,"2,19,30,000",94.00-99.00,150
AEROFLEX,"2,32,17,667",102.00-108.00,130
PYRAMID,"75,60,400",151.00-166.00,90
TVSSCS,"2,51,22,289",187.00-197.00,90
CONCORDBIO,"1,46,50,957",705.00-741.00,76
SBFC,"13,35,12,817",705.00-741.00,20
YATHARTH,"13,35,12,817",54.00-57.00,260
ASARFI,"1,65,17,823",285.00-300.00,50
ASARFI,"51,80,000",51.00-52.00,2000
NETWEB,"88,58,630",475.00-500.00,30
UTKARSHBNK,"12,05,43,477",23.00-25.00,30
KAKA,"26,22,000",55.00-58.00,600
SENCO,"94,18,603",55.00-58.00,2000
PKH,"94,18,603",301.00-317.00,47
CYIENTDLM,"2,56,32,000",140.00-148.00,100
CYIENTDLM,"1,33,32,297",250.00-265.00,56
IDEAFORGE,"46,48,870",638.00-672.00,22
HMA,"60,54,054",555.00-585.00,22
COSMICCRF,"18,22,000",298.00-314.00,25
IKIO,"1,52,24,074",298.00-314.00,400
COMRADE,"1,52,24,074",270.00-285.00,52
HSIL,"16,30,000",52.00-54.00,2000
HSIL,"19,77,600",85.00-90.00,1600
INNOKAIZ,"19,40,800",76.00-78.00,1600
MANKIND,"2,80,41,192",1026.00-1080.00,1600
AVALON,"1,14,63,854",415.00-436.00,13
EXHICON,"33,00,000",415.00-436.00,34
MAIDEN,"33,00,000",61.00-64.00,2000
USK,"37,84,000",60.00-63.00,2000
USK,"2,00,00,000",33.00-35.00,428
GSLSU,"77,49,000",133.00-140.00,100
SUDARSHAN,"68,62,400",71.00-73.00,100
DIVGIITTS,"38,41,800",560.00-590.00,1600
RESGEN,"60,00,000",560.00-590.00,25
ROBU,"60,00,000",45.00-47.00,3000
SEALMATIC,"16,68,000",96.00-102.00,1200
SEALMATIC,"19,30,200",220.00-225.00,600
ADANIENTPP,"4,55,06,791",1556.00-1638.00,4
EARTH,"32,40,000",38.00-40.00,4
SAH,"56,10,000",61.00-65.00,3000
RADIANTCMS,"2,74,29,925",61.00-65.00,230
ELIN,"2,74,29,925",94.00-99.00,150
KFINTECH,"1,42,09,386",234.00-247.00,60
KFINTECH,"2,37,75,215",347.00-366.00,40
AHL,"1,28,00,000",256.00-270.00,55
DRONACHRYA,"45,00,000",52.00-54.00,55
LANDMARK,"80,41,805",481.00-506.00,2000
SULA,"1,88,30,372",481.00-506.00,29
UNIPARTS,"1,88,30,372",340.00-357.00,42
DHARMAJ,"1,01,37,360",548.00-577.00,25
DHARMAJ,"80,12,990",216.00-237.00,60
RUSTOMJEE,"86,47,858",514.00-541.00,27
INOXGREEN,"6,67,21,310",61.00-65.00,27
KAYNES,"1,50,65,880",559.00-587.00,230
ARCHEAN,"1,99,57,325",559.00-587.00,25
FIVESTAR,"1,99,57,325",386.00-407.00,36
BIKAJI,"3,04,88,966",450.00-474.00,31
BIKAJI,"2,06,36,790",285.00-300.00,50
MEDANTA,"4,67,42,397",319.00-336.00,44
FUSION,"2,13,75,525",350.00-368.00,44
DCX,"1,45,11,146",197.00-207.00,40
TRACXN,"2,12,69,714",197.00-207.00,72
EMIL,"2,12,69,714",75.00-80.00,185
CCSL,"6,25,00,000",56.00-59.00,254
CCSL,"10,84,000",53.00-55.00,2000
INA,"61,56,000",36.00-38.00,3000
HARSHA,"1,68,63,795",314.00-330.00,3000
TMB,"87,12,000",500.00-525.00,45
DREAMFOLKS,"94,83,302",500.00-525.00,28
SYRMA,"94,83,302",308.00-326.00,46
AETHER,"2,85,63,816",209.00-220.00,68
AETHER,"93,56,193",610.00-642.00,23
EMUDHRA,"1,64,60,908",243.00-256.00,58
ETHOSLTD,"55,93,682",836.00-878.00,58
PARADEEP,"37,59,43,390",39.00-42.00,17
DELHIVERY,"6,25,41,023",39.00-42.00,350
VENUSPIPES,"6,25,41,023",462.00-487.00,30
PRUDENT,"35,51,914",310.00-326.00,46
PRUDENT,"60,18,689",595.00-630.00,23
LICI,"16,20,78,067",902.00-949.00,15
RAINBOW,"2,05,14,617",516.00-542.00,15
CAMPUS,"3,36,25,000",278.00-292.00,27
HARIOM,"85,00,000",278.00-292.00,51
VERANDA,"85,00,000",144.00-153.00,98
RUCHISOYA,"1,17,88,365",130.00-137.00,100
RUCHISOYA,"6,99,08,699",615.00-650.00,21
UMAEXPORTS,"92,30,769",65.00-68.00,220
MANYAVAR,"2,54,55,388",824.00-866.00,220
AWL,"12,25,46,150",218.00-230.00,17
AGSTRA,"2,86,74,696",218.00-230.00,65
CMSINFO,"2,86,74,696",166.00-175.00,85
SUPRIYA,"3,75,60,975",205.00-216.00,69
SUPRIYA,"1,45,28,299",265.00-274.00,54
HPAL,"45,97,200",262.00-274.00,50
DATAPATTNS,"70,97,285",555.00-585.00,50
MEDPLUS,"1,25,75,154",780.00-796.00,25
METROBRAND,"1,91,45,070",780.00-796.00,18
MAPMYINDIA,"1,91,45,070",485.00-500.00,30
SHRIRAMPPS,"70,44,762",1000.00-1033.00,14
SHRIRAMPPS,"2,93,51,639",113.00-118.00,125
RATEGAIN,"1,73,51,146",405.00-425.00,35
ARWL,"84,75,000",530.00-550.00,35
TEGA,"95,68,636",443.00-453.00,27
STARHEALTH,"4,49,08,947",443.00-453.00,33
GOCOLORS,"4,49,08,947",870.00-900.00,16
TARSONS,"80,79,491",655.00-690.00,21
TARSONS,"1,08,44,104",635.00-662.00,22
LATENTVIEW,"1,75,25,693",190.00-197.00,76
SAPPHIRE,"96,63,468",1120.00-1180.00,76
PAYTM,"4,83,89,422",2080.00-2150.00,12
POLICYBZR,"3,45,12,186",2080.00-2150.00,6
SJS,"3,45,12,186",940.00-980.00,15
SIGACHI,"1,05,46,140",531.00-542.00,27
SIGACHI,"53,86,500",161.00-163.00,90
FINO,"1,14,64,664",560.00-577.00,25
NYKAA,"2,64,85,479",1085.00-1125.00,25
ABSLAMC,"2,77,99,200",695.00-712.00,12
PDSTL,"71,40,793",695.00-712.00,20
PREVEST,"71,40,793",165.00-175.00,85
SANSERA,"22,65,600",82.00-84.00,1600
SANSERA,"1,21,09,166",734.00-744.00,20
NBL,"5,39,200",71.00-74.00,1600
AMIORG,"65,42,342",603.00-610.00,1600
VIJAYA,"2,50,26,626",522.00-531.00,24
APTUS,"5,51,28,500",522.00-531.00,28
CHEMPLAST,"5,51,28,500",346.00-353.00,42
CARTRADE,"3,99,52,829",530.00-541.00,27
CARTRADE,"1,29,72,552",1585.00-1618.00,9
NUVOCO,"6,25,00,001",560.00-570.00,26
DEVYANI,"11,25,69,719",86.00-90.00,26
EXXARO,"1,14,50,675",118.00-120.00,165
KRSNAA,"71,12,099",118.00-120.00,125
WINDLAS,"71,12,099",933.00-954.00,15
ROLEX,"61,36,252",448.00-460.00,30
ROLEX,"56,85,556",880.00-900.00,16
GLS,"2,15,51,798",695.00-720.00,20
TATVA,"32,61,882",1073.00-1083.00,20
ZOMATO,"71,92,33,522",72.00-76.00,13
CLEAN,"1,23,02,672",72.00-76.00,195
GRINFRA,"1,23,02,672",880.00-900.00,16
IPL,"81,23,594",828.00-837.00,17
IPL,"1,93,10,345",290.00-296.00,50
DODLA,"85,07,569",421.00-428.00,35
KIMS,"1,44,13,073",815.00-825.00,35
SHYMMETAL,"2,10,90,890",303.00-306.00,18
SONACOMS,"10,71,05,262",303.00-306.00,45
LODHA,"10,71,05,262",285.00-291.00,51
BARBEQUE,"3,64,18,219",483.00-486.00,30
BARBEQUE,"90,71,927",498.00-500.00,30
EKI,"18,24,000",100.00-102.00,1200
NAZARA,"29,20,997",1100.00-1101.00,1200
SURYODAY,"1,35,15,150",303.00-305.00,13
KALYAN,"9,57,09,301",303.00-305.00,49
CRAFTSMAN,"9,57,09,301",86.00-87.00,172
LXCHEM,"38,69,714",1488.00-1490.00,10
LXCHEM,"3,25,58,138",129.00-130.00,115
ANURAS,"97,01,809",553.00-555.00,27
EASEMYTRIP,"1,50,80,644",186.00-187.00,27
MTAR,"72,60,694",574.00-575.00,80
HERANBA,"69,81,417",574.00-575.00,26
RAILTEL,"69,81,417",626.00-627.00,23
NURECA,"6,11,95,923",93.00-94.00,155
NURECA,"14,01,595",396.00-400.00,35
STOVEKRAFT,"58,94,642",384.00-385.00,38
HOMEFIRST,"1,56,20,948",517.00-518.00,38
INDIGOPNTS,"55,18,402",1488.00-1490.00,28
IRFC,"1,24,75,05,993",1488.00-1490.00,10
ANTONY,"1,24,75,05,993",25.00-26.00,575
BECTORFOOD,"66,66,342",313.00-315.00,47
BECTORFOOD,"1,32,36,211",286.00-288.00,50
BURGERKING,"7,44,91,524",59.00-60.00,250
GLAND,"3,02,37,879",1490.00-1500.00,250
EQUITASSFB,"11,58,50,001",32.00-33.00,10
LIKHITHA,"51,00,000",32.00-33.00,450
MAZDOCK,"51,00,000",116.00-120.00,125
UTIAMC,"3,05,99,017",135.00-145.00,103
UTIAMC,"2,73,50,957",552.00-554.00,27
ANGELBRKG,"1,37,70,491",305.00-306.00,49
CHEMCON,"65,59,173",338.00-340.00,49
CAMS,"1,28,27,370",1229.00-1230.00,44
ROUTE,"1,21,73,912",1229.00-1230.00,12
HAPPSTMNDS,"1,21,73,912",345.00-350.00,40
YESBANK,"2,32,59,550",165.00-166.00,90
YESBANK,"9,09,97,66,899",12.00-13.00,1000
ROSSARI,"81,73,530",423.00-425.00,35
AWHCL,"48,24,544",294.00-300.00,35
SBICARDS,"10,02,79,411",750.00-755.00,50
ITI,"18,18,00,000",750.00-755.00,19
PRINCEPIPE,"18,18,00,000",71.00-77.00,150
UJJIVANSFB,"1,97,74,012",177.00-178.00,84
UJJIVANSFB,"12,39,58,333",36.00-37.00,400
CSBBANK,"1,15,54,987",193.00-195.00,75
GENSOL,"21,60,000",81.00-83.00,75
GOBLIN,"29,24,000",51.00-52.00,1600
VISHWARAJ,"1,00,00,000",51.00-52.00,2000
ITCTC,"1,00,00,000",55.00-60.00,240
TPIL,"2,01,60,000",315.00-320.00,40
TPIL,"31,40,000",60.00-64.00,2000
SWSL,"2,21,77,418",775.00-780.00,1
SPANDANA,"98,22,367",853.00-856.00,1
AFFLE,"37,38,021",740.00-745.00,17
INDIAMART,"26,92,824",740.00-745.00,20
KPRAGRO,"26,92,824",970.00-973.00,15
SUICH,"4,64,26,229",59.00-61.00,200
SUICH,"41,15,200",73.00-75.00,1600
CHCL,"62,16,000",59.00-65.00,2000
AEL,"70,00,000",54.00-60.00,2000
NEOGEN,"43,29,038",212.00-215.00,2000
POLYCAB,"1,76,37,777",212.00-215.00,65
METROPOLIS,"1,76,37,777",533.00-538.00,27
RVNL,"76,61,802",877.00-880.00,1
RVNL,"25,34,57,280",17.00-19.00,780
MSTC,"1,76,70,400",120.00-128.00,90
CHALET,"4,13,26,672",275.00-280.00,90
RITCO,"66,00,000",71.00-73.00,53
XELPMOC,"21,41,496",71.00-73.00,1600
DECCAN,"21,41,496",62.00-66.00,200
DEPL,"42,12,000",95.00-100.00,1200
DEPL,"1,00,00,000",183.00-185.00,80
GRSE,"2,92,10,760",114.00-118.00,120
AAVAS,"1,47,85,027",818.00-821.00,120
INNOVATIVE,"30,66,000",36.00-40.00,18
MIL,"34,04,400",36.00-40.00,3000
IRCON,"34,04,400",181.00-188.00,600
CREDITACC,"99,05,157",470.00-475.00,30
CREDITACC,"1,88,29,684",418.00-422.00,35
HDFCAMC,"1,88,04,290",1095.00-1100.00,13
TCNS,"1,09,99,828",714.00-716.00,13
VARROC,"1,41,85,212",965.00-967.00,20
FINEORG,"53,65,497",965.00-967.00,15
RITES,"53,65,497",780.00-783.00,19
AFFORDABLE,"2,52,00,000",180.00-185.00,80
AFFORDABLE,"26,81,600",83.00-85.00,1600
INNOVATORS,"37,63,200",71.00-72.00,1600
INDOSTAR,"2,25,75,438",570.00-572.00,1600
LEMONTREE,"12,98,35,580",54.00-56.00,26
ISEC,"4,42,25,343",54.00-56.00,265
MISHRA,"4,42,25,343",519.00-520.00,28
BBPL,"4,87,08,400",87.00-90.00,150
BBPL,"53,16,000",60.00-63.00,2000
KARDA,"43,00,000",175.00-180.00,80
SANDHAR,"1,08,72,661",327.00-332.00,80
HAL,"3,41,07,525",1215.00-1240.00,45
BANDHANBNK,"8,34,96,347",1215.00-1240.00,12
BDL,"8,34,96,347",370.00-375.00,40
HGINFRA,"2,24,51,953",413.00-428.00,35
HGINFRA,"1,21,37,070",263.00-270.00,55
ASTERDM,"3,73,70,415",180.00-190.00,78
GSL,"44,32,174",1470.00-1480.00,78
AMBER,"49,27,351",855.00-859.00,10
NEWGEN,"1,22,12,821",855.00-859.00,17
APOLLO,"1,22,12,821",240.00-245.00,61
ASTRON,"41,44,955",270.00-275.00,50
ASTRON,"1,40,00,000",45.00-50.00,280
FSC,"68,49,200",660.00-664.00,22
SHALBY,"1,45,21,686",245.00-248.00,22
AMBITION,"30,00,000",40.00-42.00,60
HDFCLIFE,"21,97,59,218",40.00-42.00,3000
KHADIM,"21,97,59,218",275.00-290.00,50
NIACL,"72,45,233",745.00-750.00,20
NIACL,"12,00,00,000",770.00-800.00,18
MAHLOG,"1,35,70,143",425.00-429.00,34
RNAM,"4,28,40,000",247.00-252.00,34
GICRE,"12,47,00,000",855.00-912.00,59
IEX,"52,75,889",855.00-912.00,16
MASFIN,"52,75,889",1645.00-1650.00,9
GODREJAGRO,"71,24,910",456.00-459.00,32
GODREJAGRO,"1,80,27,464",450.00-460.00,32
SIDDH,"31,08,000",30.00-35.00,4000
DIAMONDYD,"36,27,518",930.00-938.00,4000
SBILIFE,"8,82,00,000",685.00-700.00,15
ICICIGI,"6,16,66,740",685.00-700.00,21
SAGAR,"6,16,66,740",651.00-661.00,22
CAPACITE,"33,81,000",40.00-45.00,3000
CAPACITE,"1,14,28,572",245.00-250.00,60
MATRIMONY,"28,11,280",983.00-985.00,15
BRNL,"2,93,00,000",195.00-205.00,15
DIXON,"23,76,557",1760.00-1766.00,73
APEX,"62,10,000",1760.00-1766.00,8
CSL,"62,10,000",171.00-175.00,80
SIS,"3,39,84,000",424.00-432.00,30
SIS,"53,16,187",805.00-815.00,18
AUBANK,"3,76,95,520",355.00-358.00,41
GTPL,"2,02,15,966",167.00-170.00,41
CDSL,"2,48,27,046",145.00-149.00,88
ERIS,"1,59,48,750",145.00-149.00,100
TEJASNET,"1,59,48,750",600.00-603.00,24
PSPPROJECT,"1,71,12,005",250.00-257.00,55
PSPPROJECT,"55,44,000",205.00-210.00,70
HUDCO,"20,40,58,747",56.00-60.00,200
SCHAND,"76,85,284",660.00-670.00,200
SHANKARA,"52,94,467",440.00-460.00,22
CLEDUCATE,"33,32,000",440.00-460.00,32
MTIL,"33,32,000",500.00-502.00,29
DMART,"38,04,000",27.00-30.00,4000
DMART,"4,43,72,882",295.00-299.00,50
RADIOCITY,"1,04,80,784",324.00-333.00,45
BSE,"1,07,99,039",805.00-806.00,45
LAURUSLABS,"2,19,11,308",426.00-428.00,18
MRSSL,"9,43,200",426.00-428.00,35
SFL,"9,43,200",106.00-114.00,1200
GSBPL,"52,50,001",680.00-730.00,20
GSBPL,"1,45,79,560",68.00-76.00,175
VBL,"1,76,50,000",440.00-445.00,33
PNBHF,"2,80,77,500",750.00-775.00,33
ENDURANCE,"1,72,29,118",467.00-472.00,19
DIKSAT,"46,08,000",467.00-472.00,30
HPL,"46,08,000",36.00-40.00,3000
ICICIPRULI,"1,44,40,001",175.00-202.00,70
ICICIPRULI,"13,23,78,973",300.00-334.00,44
GNA,"44,70,000",205.00-207.00,70
LTTS,"72,80,000",850.00-860.00,70
RBLBANK,"3,79,01,919",224.00-225.00,16
SPAL,"65,56,605",224.00-225.00,65
DBL,"65,56,605",258.00-268.00,55
ADVENZYMES ,"2,13,62,138",214.00-219.00,65
ADVENZYMES ,"32,34,059",880.00-896.00,16
LTI,"1,22,50,000",705.00-710.00,20
QUESS,"70,96,774",310.00-317.00,20
MGL,"1,73,46,150",380.00-421.00,45
PARAG,"1,95,06,590",380.00-421.00,35
UJJIVAN,"1,95,06,590",215.00-227.00,65
THYROCARE,"2,96,63,706",207.00-210.00,70
THYROCARE,"75,21,297",420.00-446.00,33
EQUITAS,"13,91,91,802",109.00-110.00,135
INFIBEAM,"1,25,00,000",360.00-432.00,135
BWRL,"1,75,00,000",40.00-45.00,34
HCG,"1,63,90,000",40.00-45.00,300
KPEL,"1,63,90,000",205.00-218.00,65
QH,"9,20,000",60.00-70.00,2000
QH,"1,01,37,557",311.00-321.00,45
TEAMLEASE,"28,92,063",785.00-850.00,15
PCAL,"1,58,67,366",180.00-186.00,15
NH,"1,71,66,309",245.00-250.00,80
ALKEM,"90,87,084",245.00-250.00,60
DRLAL,"90,87,084",1020.00-1050.00,14
KELKAR,"81,20,000",540.00-550.00,20
KELKAR,"2,02,34,342",173.00-180.00,80
INDIGO,"3,01,22,088",700.00-765.00,15
CCD,"2,58,14,198",316.00-328.00,15
PRABHAT,"4,12,07,976",115.00-126.00,45
SADBHIN,"2,85,83,610",115.00-126.00,102
PENPEBS,"2,85,83,610",100.00-103.00,145
SPCFL,"62,95,536",170.00-178.00,80
SPCFL,"1,14,75,410",61.00-65.00,200
NCLIPO,"2,85,71,429",147.00-155.00,95
PMPL,"29,88,300",615.00-640.00,95
SYNGENE,"1,60,00,000",240.00-250.00,20
MANPASA,"75,86,207",240.00-250.00,60
PNCINF,"75,86,207",290.00-320.00,45
UFO,"90,60,197",355.00-378.00,35
UFO,"68,29,269",615.00-625.00,24
MEPIDL,"4,02,89,225",63.00-65.00,225
VRL,"1,62,69,006",195.00-205.00,225
IWLIPO,"2,32,01,121",315.00-325.00,65
AELTD,"1,76,04,092",315.00-325.00,45
,"1,76,04,092",180.00-215.00,65
