Security Type,Symbol,Issue Period,Face Value,Market Lot,BSE Code,ISIN
Equity,RUDRA,08 Feb 2024 to 12 Feb 2024,10,2000,539226,INE027T01023
Equity,GPSL,31 Jan 2024 to 02 Feb 2024,10,1200,544108,INE0QZF01012
Equity,MCFL,29 Jan 2024 to 31 Jan 2024,10,1200,544106,INE0R5Z01015
Equity,BRISK,23 Jan 2024 to 25 Jan 2024,10,800,544101,INE0Q6L01014
Equity,QLL,18 Jan 2024 to 23 Jan 2024,10,1200,544091,INE0Q1R01012
Equity,SHREE,12 Jan 2024 to 16 Jan 2024,10,1000,544083,INE0QIS01011
Equity,MCPL,27 Dec 2023 to 29 Dec 2023,10,2000,544073,INE0A6N01026
Equity,AIKPIPES,26 Dec 2023 to 28 Dec 2023,10,1600,544072,INE0QFT01015
Equity,SMARITIME,18 Dec 2023 to 20 Dec 2023,10,1600,544056,INE0PSJ01011
Equity,BENCHMARK,14 Dec 2023 to 18 Dec 2023,10,2000,544052,INE0Q2Z01013
Equity,ARROWHEAD,16 Nov 2023 to 20 Nov 2023,10,600,544025,INE0PP401015
Equity,MISHDESIGN,31 Oct 2023 to 02 Nov 2023,10,1000,544015,INE0QI101019
Equity,VPL,30 Oct 2023 to 01 Nov 2023,10,1200,544011,INE0Q6901013
Equity,KKSHL,27 Oct 2023 to 31 Oct 2023,10,3000,544013,INE0OH401016
Equity,VIVAA,27 Sep 2023 to 04 Oct 2023,10,2000,544002,INE0PA601017
Equity,SUNITATOOL,26 Sep 2023 to 03 Oct 2023,10,1000,544001,INE0Q1S01010
Equity,CCAL,26 Sep 2023 to 29 Sep 2023,10,6000,544000,INE0M7501019
Equity,ORGANICREC,21 Sep 2023 to 26 Sep 2023,10,600,543997,INE0MIO01019
Equity,TECHKGREEN,18 Sep 2023 to 21 Sep 2023,10,1600,543991,INE0P4P01011
Equity,MESON,08 Sep 2023 to 12 Sep 2023,10,1200,543982,INE0OYE01013
Equity,KAHAN,06 Sep 2023 to 08 Sep 2023,10,1600,543979,INE04T901017
Equity,BONDADA,18 Aug 2023 to 22 Aug 2023,10,1600,543971,INE0Q8P01011
Equity,SDL,17 Aug 2023 to 21 Aug 2023,10,3000,524727,INE004E01016
Equity,SHELTER,10 Aug 2023 to 14 Aug 2023,10,3000,543963,INE013V01011
Equity,KHAZANCHI,24 Jul 2023 to 28 Jul 2023,10,1000,543953,INE0OWC01011
Equity,INNOVATUS,25 Jul 2023 to 27 Jul 2023,10,3000,543951,INE0LYO01018
Equity,ATL,10 Jul 2023 to 13 Jul 2023,10,800,543954,INE0NN701020
Equity,ACCELERATE,06 Jul 2023 to 11 Jul 2023,10,1600,543938,INE0POP01017
Equity,ALPHAIND,03 Jul 2023 to 06 Jul 2023,10,1200,543937,INE0NZF01019
Equity,VEEFIN,22 Jun 2023 to 26 Jun 2023,10,1600,543931,INE0Q0M01015
Equity,BIZOTIC,12 Jun 2023 to 15 Jun 2023,10,800,543926,INE0OJ401014
Equity,SONALIS,07 Jun 2023 to 09 Jun 2023,10,4000,543924,INE0N5O01013
Equity,CFF,30 May 2023 to 02 Jun 2023,10,800,543920,INE0NJ001013
Equity,RETINA,19 Apr 2023 to 24 Apr 2023,10,4000,543902,INE0NTC01019
Equity,SANCODE,31 Mar 2023 to 06 Apr 2023,10,3000,543897,INE0P7001013
Equity,COMMAND,17 Mar 2023 to 21 Mar 2023,10,4000,543843,INE0LKQ01012
Equity,DEVLAB,17 Mar 2023 to 21 Mar 2023,10,2000,543848,INE0NIJ01017
Equity,BRIGHT,14 Mar 2023 to 17 Mar 2023,10,1000,543831,INE0OMI01019
Equity,LABELKRAFT,13 Mar 2023 to 15 Mar 2023,10,2000,543830,INE0NLJ01011
Equity,PCL,08 Mar 2023 to 13 Mar 2023,10,2000,543814,INE0OKG01017
Equity,ITCONS,28 Feb 2023 to 02 Mar 2023,10,2000,543806,INE0O6A01019
Equity,AMANAYA,24 Feb 2023 to 28 Feb 2023,10,6000,543804,INE0G1V01016
Equity,SVJ ,23 Feb 2023 to 28 Feb 2023,10,3000,#N/A,#N/A
Equity,PATRON,21 Feb 2023 to 24 Feb 2023,10,4000,543798,INE0NPA01011
Equity,INDONG,09 Feb 2023 to 13 Feb 2023,10,4000,543769,INE0KN201016
Equity,TRANSVOY,20 Jan 2023 to 24 Jan 2023,10,1600,543754,INE0MPU01011
Equity,DHARNI,18 Jan 2023 to 20 Jan 2023,1,6000,543753,INE0M9Q01011
Equity,ELIL,05 Jan 2023 to 09 Jan 2023,10,600,543746,INE0BSU01018
Equity,REXSEAL,30 Dec 2022 to 04 Jan 2023,10,1000,543744,INE0MFT01014
Equity,SVS,30 Dec 2022 to 04 Jan 2023,10,6000,543745,INE0MID01012
Equity,GARGI,08 Dec 2022 to 13 Dec 2022,10,4000,543709,INE0NT601018
Equity,AMBOAGRI,21 Nov 2022 to 24 Nov 2022,10,4000,543678,INE0N6V01016
Equity,TECHNOPACK,02 Nov 2022 to 07 Nov 2022,10,2000,543656,INE0MXP01015
Equity,DAPS,31 Oct 2022 to 03 Nov 2022,10,4000,543651,INE975Z01012
Equity,PACE,29 Sep 2022 to 13 Oct 2022,10,1200,543637,INE0N1L01018
Equity,MAAGHADV,26 Sep 2022 to 04 Oct 2022,10,2000,543624,INE0KY201021
Equity,VEDANTASSET,30 Sep 2022 to 04 Oct 2022,10,3000,543623,INE0NC801013
Equity,CARGOSOL,28 Sep 2022 to 30 Sep 2022,10,4000,543621,INE0KZM01011
Equity,SRSOLTD,28 Sep 2022 to 30 Sep 2022,10,1600,543615,INE0MNV01014
Equity,CARGOTRANS,27 Sep 2022 to 29 Sep 2022,10,3000,543618,INE0M4L01013
Equity,REETECH,27 Sep 2022 to 29 Sep 2022,10,1200,543617,INE0MKO01015
Equity,STML,26 Sep 2022 to 29 Sep 2022,10,1200,543622,INE0MSK01016
Equity,TLL,26 Sep 2022 to 29 Sep 2022,10,1200,543616,INE0MKA01014
Equity,MAFIA,22 Sep 2022 to 27 Sep 2022,10,4000,543613,INE0KQQ01011
Equity,CONTAINE,20 Sep 2022 to 22 Sep 2022,10,8000,543606,INE0M8901010
Equity,SISL,06 Sep 2022 to 09 Sep 2022,10,1600,543598,INE0LU301014
Equity,VOEPL,02 Sep 2022 to 07 Sep 2022,10,2000,543597,INE0I0T01010
Equity,EPBIO,29 Aug 2022 to 05 Sep 2022,10,1000,543595,INE0D2I01014
Equity,DPL,25 Aug 2022 to 30 Aug 2022,10,3000,543594,INE0MC401013
Equity,RHETAN,22 Aug 2022 to 25 Aug 2022,10,2000,543590,INE0KKN01029
Equity,NATURO,22 Aug 2022 to 24 Aug 2022,10,4000,543579,INE0JNB01012
Equity,OLATECH,12 Aug 2022 to 19 Aug 2022,10,4000,543578,INE0M3901015
Equity,HEALTHYLIFE,13 Jul 2022 to 18 Jul 2022,10,10000,543546,INE0L3501015
Equity,VEERKRUPA,29 Jun 2022 to 08 Jul 2022,10,4000,543545,INE0ID001024
Equity,BRIGHT,30 Jun 2022 to 05 Jul 2022,10,800,543831,INE0OMI01019
Equity,JAYANT,30 Jun 2022 to 05 Jul 2022,10,2000,543544,INE0KR801019
Equity,KESAR,30 Jun 2022 to 04 Jul 2022,10,800,543542,INE0L1C01019
Equity,SAILANI,27 Jun 2022 to 30 Jun 2022,10,8000,543541,INE0KHQ01010
Equity,PGCRL,27 Jun 2022 to 29 Jun 2022,10,600,543540,INE0GTX01019
Equity,MODIS,23 Jun 2022 to 28 Jun 2022,10,800,543539,INE0L0L01012
Equity,GOEL,15 Jun 2022 to 20 Jun 2022,10,1600,543538,INE0K6L01010
Equity,SCARNOSE,14 Jun 2022 to 17 Jun 2022,10,2000,543537,INE0IXR01019
Equity,SILVERPRL,06 Jun 2022 to 09 Jun 2022,10,8000,543536,INE0KXN01014
Equity,FONE4,25 Apr 2022 to 27 Apr 2022,10,10000,543521,INE0L3H01014
Equity,NVENTURES,25 Apr 2022 to 27 Apr 2022,10,3000,543522,INE0E5R01017
Equity,GLHRL,21 Apr 2022 to 25 Apr 2022,10,1000,543520,INE0J2K01014
Equity,SFSL,20 Apr 2022 to 25 Apr 2022,10,3000,543519,INE0JMN01019
Equity,EIGHTY,31 Mar 2022 to 05 Apr 2022,10,3000,543518,INE0KSN01014
Equity,SEML,30 Mar 2022 to 05 Apr 2022,10,1000,543515,INE0KPY01017
Equity,DHYAANI,30 Mar 2022 to 04 Apr 2022,10,2000,543516,INE0K5F01014
Equity,ACHYUT,17 Mar 2022 to 22 Mar 2022,10,6000,543499,INE0K1401012
Equity,EVOQ,17 Mar 2022 to 22 Mar 2022,10,4000,543500,INE0JVD01011
Equity,BCCL,14 Mar 2022 to 16 Mar 2022,10,1600,543497,INE0KQ001017
Equity,EKENNIS,21 Feb 2022 to 24 Feb 2022,10,1600,543475,INE0KCM01010
Equity,SPITZE,03 Feb 2022 to 08 Feb 2022,10,2000,543464,INE0JSJ01014
Equity,QRIL,27 Jan 2022 to 01 Feb 2022,10,2000,543460,INE0KAF01018
Equity,SSTL,28 Jan 2022 to 01 Feb 2022,10,10000,543461,INE0JNA01014
Equity,ALKOSIGN,18 Jan 2022 to 21 Jan 2022,10,3000,543453,INE0KA601012
Equity,DJML,18 Jan 2022 to 20 Jan 2022,10,1000,543193,INE0B1K01014
Equity,FABINO,31 Dec 2021 to 05 Jan 2022,10,3000,543444,INE0DRT01018
Equity,BRANDBUCKT,20 Dec 2021 to 23 Dec 2021,10,2000,543439,INE0ILD01014
Equity,CLARA,16 Dec 2021 to 21 Dec 2021,10,3000,543435,INE0JJS01014
Equity,WITS,16 Dec 2021 to 21 Dec 2021,10,800,543436,INE0IM001015
Equity,DMR,24 Nov 2021 to 29 Nov 2021,10,6000,543410,INE07L501010
Equity,OMNIPOTENT,16 Nov 2021 to 22 Nov 2021,10,2000,543400,INE0JFE01012
Equity,SGFRL,01 Nov 2021 to 08 Nov 2021,10,3000,543391,INE07GA01011
Equity,ADISHAKTI,30 Sep 2021 to 05 Oct 2021,10,10000,543377,INE0CWK01019
Equity,CWD,30 Sep 2021 to 05 Oct 2021,10,800,543378,#N/A
Equity,SAMOR,30 Sep 2021 to 05 Oct 2021,10,2000,543376,INE0GD201014
Equity,PROMAX,30 Sep 2021 to 04 Oct 2021,10,10000,543375,INE0I2F01015
Equity,SVRL,29 Sep 2021 to 01 Oct 2021,10,3000,543373,INE0HLJ01013
Equity,GETALONG,27 Sep 2021 to 30 Sep 2021,10,2000,543372,INE0H1201012
Equity,MTCL,15 Sep 2021 to 20 Sep 2021,10,1600,543364,#N/A
Equity,SBLI,16 Sep 2021 to 20 Sep 2021,10,1200,543366,INE0DLM01024
Equity,POBS,02 Sep 2021 to 07 Sep 2021,10,1200,543352,INE0DTJ01015
Equity,AASHKA,10 Aug 2021 to 24 Aug 2021,10,1000,543346,INE0EAX01014
Equity,GCSL,27 Jul 2021 to 30 Jul 2021,10,800,543324,INE199P01028
Equity,AAPLUSTRAD,08 Jul 2021 to 13 Jul 2021,10,8000,543319,INE0C5901014
Equity,FOCUS,30 Jun 2021 to 05 Jul 2021,10,6000,543312,INE0DXR01010
Equity,TIMESGREEN,16 Jun 2021 to 22 Jun 2021,10,2000,543310,INE0B6101012
Equity,ADESHWAR,15 Jun 2021 to 18 Jun 2021,10,6000,543309,INE0H8J01015
Equity,NAVODAYENT,14 Jun 2021 to 17 Jun 2021,10,6000,543305,INE0DB001013
Equity,KGES,20 Apr 2021 to 27 Apr 2021,10,6000,543289,#N/A
Equity,JETMALL,31 Mar 2021 to 07 Apr 2021,10,6000,543286,INE0D9X01018
Equity,RCAN,31 Mar 2021 to 06 Apr 2021,10,6000,543285,INE0CQ101015
Equity,NIKSTECH,19 Mar 2021 to 23 Mar 2021,10,600,543282,#N/A
Equity,KMEW,09 Mar 2021 to 12 Mar 2021,10,3000,543273,INE0CJD01011
Equity,SUUMAYA,09 Mar 2021 to 12 Mar 2021,10,600,543274,INE0EMB01015
Equity,AGOL,03 Mar 2021 to 08 Mar 2021,10,1600,542579,INE05FR01029
Equity,ADJIA,02 Mar 2021 to 04 Mar 2021,10,1600,543269,#N/A
Equity,MRP,08 Feb 2021 to 10 Feb 2021,10,3000,543262,INE0D7801012
Equity,NETPIX,18 Nov 2020 to 23 Nov 2020,10,4000,#N/A,#N/A
Equity,SHINEFASH,22 Oct 2020 to 26 Oct 2020,10,3000,543244,INE0BLY01023
Equity,VGIL,30 Sep 2020 to 09 Oct 2020,10,4000,543241,INE244W01010
Equity,GMPL,30 Sep 2020 to 06 Oct 2020,10,800,543239,INE0E2801015
Equity,ATAM,18 Sep 2020 to 25 Sep 2020,10,3000,543236,INE09KD01013
Equity,SECMARK,18 Sep 2020 to 23 Sep 2020,10,1000,543234,INE0BTM01013
Equity,ADVAIT,15 Sep 2020 to 18 Sep 2020,10,2000,543230,INE0ALI01010
Equity,HIPPOCABS,18 Aug 2020 to 20 Aug 2020,10,1200,#N/A,#N/A
Equity,SBGLP,03 Aug 2020 to 05 Aug 2020,10,8000,543218,INE05ST01010
Equity,BONLON,30 Jun 2020 to 03 Jul 2020,10,4000,543211,INE0B9A01018
Equity,BILLWIN,18 Jun 2020 to 22 Jun 2020,10,3000,543209,INE0CRS01012
Equity,NIRMITEE,31 Mar 2020 to 09 Apr 2020,10,600,#N/A,#N/A
Equity,DJML,26 Mar 2020 to 31 Mar 2020,10,6000,543193,INE0B1K01014
Equity,COSPOWER,17 Mar 2020 to 19 Mar 2020,10,2000,543172,INE0CQB01010
Equity,ROJL,12 Mar 2020 to 17 Mar 2020,10,3000,543171,INE0BDU01028
Equity,SMAUTO,03 Mar 2020 to 05 Mar 2020,10,8000,543065,INE0C4I01011
Equity,ICLORGANIC,31 Jan 2020 to 07 Feb 2020,10,6000,#N/A,#N/A
Equity,CBPL,31 Jan 2020 to 06 Feb 2020,10,2000,542934,INE07QQ01016
Equity,JANUSCORP,27 Jan 2020 to 30 Jan 2020,10,3000,542924,INE04OV01018
Equity,TRANWAY,27 Jan 2020 to 29 Jan 2020,10,10000,#N/A,#N/A
Equity,GIANLIFE,31 Dec 2019 to 03 Jan 2020,10,6000,542918,INE063601012
Equity,VALENCIA,23 Dec 2019 to 27 Dec 2019,10,3000,#N/A,#N/A
Equity,ANUROOP,08 Nov 2019 to 13 Nov 2019,10,10000,542865,INE490Z01012
Equity,GALACTICO,24 Sep 2019 to 27 Sep 2019,10,6000,542802,INE906Y01028
Equity,MISQUITA,23 Sep 2019 to 25 Sep 2019,10,4000,542801,INE957W01025
Equity,NOVATEOR,30 Aug 2019 to 04 Sep 2019,10,6000,542771,INE08JY01013
Equity,ALPHALOGIC,26 Aug 2019 to 28 Aug 2019,10,1600,542770,INE08E401029
Equity,TRANSPACT,26 Aug 2019 to 28 Aug 2019,10,1000,#N/A,#N/A
Equity,SKIEL,28 Jun 2019 to 05 Jul 2019,10,6000,542728,INE04ST01013
Equity,CPML,27 Jun 2019 to 03 Jul 2019,10,4000,542727,INE056001014
Equity,EARUM,21 Jun 2019 to 26 Jun 2019,10,3000,542724,INE060601023
Equity,SBC,24 Jun 2019 to 26 Jun 2019,10,6000,542725,INE04AK01028
Equity,ARL,18 Jun 2019 to 24 Jun 2019,10,4000,542721,INE02GA01012
Equity,PARSHVA,19 Jun 2019 to 21 Jun 2019,10,3000,542694,INE05MV01019
Equity,MEERA,13 Jun 2019 to 18 Jun 2019,10,500,540519,INE343X01018
Equity,EVANS,30 Apr 2019 to 03 May 2019,10,2000,542668,INE06TD01010
Equity,WORL,26 Apr 2019 to 02 May 2019,10,2000,542667,INE06CG01019
Equity,GKP,23 Apr 2019 to 26 Apr 2019,10,4000,542666,INE05QJ01015
Equity,VRFILMS,12 Apr 2019 to 18 Apr 2019,10,2000,542654,INE06LG01010
Equity,JINAAM,09 Apr 2019 to 15 Apr 2019,10,2000,#N/A,#N/A
Equity,NSL,22 Mar 2019 to 27 Mar 2019,10,3000,542628,INE01BL01012
Equity,ROOPSHRI,19 Mar 2019 to 22 Mar 2019,10,6000,542599,INE03WT01017
Equity,HBEL,15 Mar 2019 to 19 Mar 2019,10,1000,542592,INE02PC01019
Equity,AARTECH,12 Mar 2019 to 18 Mar 2019,10,4000,542580,INE01C001018
Equity,AGOL,13 Mar 2019 to 18 Mar 2019,10,2000,542579,INE05FR01029
Equity,MAHIP,26 Feb 2019 to 01 Mar 2019,10,4000,#N/A,#N/A
Equity,GLEAM,19 Feb 2019 to 22 Feb 2019,10,10000,#N/A,#N/A
Equity,KRANTI,14 Feb 2019 to 20 Feb 2019,10,3000,542459,INE911T01010
Equity,JONJUA,12 Feb 2019 to 15 Feb 2019,10,10000,542446,INE793Z01027
Equity,ANMOL,12 Feb 2019 to 14 Feb 2019,10,4000,542437,INE02AR01019
Equity,KPIGLOBAL,08 Jan 2019 to 11 Jan 2019,10,1600,#N/A,#N/A
Equity,AXITA,27 Dec 2018 to 02 Jan 2019,10,2000,542285,INE02EZ01022
Equity,SRD,12 Dec 2018 to 14 Dec 2018,10,3000,542232,INE01NE01012
Equity,DGL,26 Nov 2018 to 28 Nov 2018,10,4000,542155,INE01GR01018
Equity,RONI,19 Nov 2018 to 22 Nov 2018,10,6000,542145,INE02AP01013
Equity,SKIFL,15 Nov 2018 to 22 Nov 2018,10,10000,542146,INE951Z01013
Equity,BCPL,05 Oct 2018 to 19 Oct 2018,10,4000,542057,INE00SW01015
Equity,VIEL,28 Sep 2018 to 12 Oct 2018,10,2000,#N/A,#N/A
Equity,SMGOLD,03 Oct 2018 to 10 Oct 2018,10,4000,542034,INE00Q901014
Equity,SUNRETAIL,27 Sep 2018 to 08 Oct 2018,10,6000,542025,INE206Z01020
Equity,AKI,28 Sep 2018 to 05 Oct 2018,10,10000,542020,INE642Z01026
Equity,SHUBHAM,28 Sep 2018 to 04 Oct 2018,10,3000,542019,INE01J501010
Equity,AAL,25 Sep 2018 to 01 Oct 2018,10,2000,542012,INE911Z01017
Equity,DOLFIN,27 Sep 2018 to 01 Oct 2018,10,4000,542013,INE666Y01010
Equity,MAC,19 Sep 2018 to 25 Sep 2018,10,6000,#N/A,#N/A
Equity,SKYGOLD,18 Sep 2018 to 24 Sep 2018,10,800,541967,INE01IU01018
Equity,RANJEET,12 Sep 2018 to 17 Sep 2018,10,6000,541945,INE01A501019
Equity,SYNERGY,04 Sep 2018 to 11 Sep 2018,10,2000,#N/A,#N/A
Equity,ASPL,21 Aug 2018 to 30 Aug 2018,10,4000,#N/A,#N/A
Equity,SMEL,09 Aug 2018 to 14 Aug 2018,10,10000,541799,INE266S01011
Equity,DPL,08 Aug 2018 to 13 Aug 2018,10,3000,543594,INE0MC401013
Equity,SALEBHAI,27 Jul 2018 to 01 Aug 2018,10,1200,#N/A,#N/A
Equity,GFIL,16 Jul 2018 to 23 Jul 2018,10,1600,#N/A,#N/A
Equity,SUPERSHAK,17 Jul 2018 to 20 Jul 2018,10,300,#N/A,#N/A
Equity,RAWEDGE,05 Jul 2018 to 10 Jul 2018,10,1600,541634,INE960Z01014
Equity,RAJNISH,25 Jun 2018 to 29 Jun 2018,10,1200,541601,INE685Z01033
Equity,PALMJEWELS,25 May 2018 to 04 Jun 2018,10,4000,541444,INE838Z01012
Equity,WAA,31 May 2018 to 04 Jun 2018,10,800,541445,INE799N01012
Equity,NGIL,23 May 2018 to 29 May 2018,10,4000,541418,INE236Y01012
Equity,ARIHANTINS,23 May 2018 to 28 May 2018,10,4000,#N/A,#N/A
Equity,MEGASTAR,14 May 2018 to 16 May 2018,10,4000,541352,INE00EM01016
Equity,UHZAVERI,08 May 2018 to 14 May 2018,10,3000,541338,INE556Z01010
Equity,MILEFUR,07 May 2018 to 11 May 2018,10,3000,541337,INE424Z01011
Equity,AKSHAR,27 Apr 2018 to 03 May 2018,10,3000,541303,INE256Z01025
Equity,INDOUS,30 Apr 2018 to 03 May 2018,10,2000,541304,INE250Z01010
Equity,DCSL,27 Apr 2018 to 02 May 2018,10,2000,#N/A,#N/A
Equity,DLCL,25 Apr 2018 to 27 Apr 2018,10,4000,541299,INE871Z01013
Equity,GARVIND,12 Apr 2018 to 17 Apr 2018,10,10000,#N/A,#N/A
Equity,TRL,22 Mar 2018 to 27 Mar 2018,10,4000,541228,INE459Z01017
Equity,OBCL,22 Mar 2018 to 26 Mar 2018,10,4000,541206,INE426Z01016
Equity,LEX,12 Mar 2018 to 23 Mar 2018,10,2000,541196,INE860Y01019
Equity,YASHO,19 Mar 2018 to 21 Mar 2018,10,1200,541167,INE616Z01012
Equity,ACTIVE,12 Mar 2018 to 16 Mar 2018,10,2000,541144,INE380Z01015
Equity,ADVITIYA,14 Mar 2018 to 16 Mar 2018,10,8000,#N/A,#N/A
Equity,RIDINGS,14 Mar 2018 to 16 Mar 2018,10,8000,#N/A,#N/A
Equity,SHREESHAY,09 Mar 2018 to 13 Mar 2018,10,8000,541112,INE452Z01012
Equity,INFLAME,06 Mar 2018 to 08 Mar 2018,10,2000,541083,INE464Z01017
Equity,EIS,05 Mar 2018 to 07 Mar 2018,10,160,#N/A,#N/A
Equity,ANGEL,20 Feb 2018 to 23 Feb 2018,10,4000,541006,INE339Z01011
Equity,BHATIA,08 Feb 2018 to 12 Feb 2018,10,1000,540956,INE341Z01025
Equity,TDSL,07 Feb 2018 to 12 Feb 2018,10,3000,540955,INE773Y01014
Equity,KENVI,02 Feb 2018 to 07 Feb 2018,10,3000,540953,INE923Y01023
Equity,LAL,31 Jan 2018 to 06 Feb 2018,10,10000,540952,INE740X01015
Equity,GUJHYSPIN,25 Jan 2018 to 31 Jan 2018,10,10000,540938,INE578V01013
Equity,MEDICO,29 Jan 2018 to 31 Jan 2018,10,1200,540937,INE630Y01024
Equity,GGL,24 Jan 2018 to 30 Jan 2018,10,3000,540936,INE063Z01017
Equity,AML,23 Jan 2018 to 25 Jan 2018,10,6000,#N/A,#N/A
Equity,CRPRML,18 Jan 2018 to 22 Jan 2018,10,2000,#N/A,#N/A
Equity,JFL,29 Dec 2017 to 04 Jan 2018,10,2000,540850,INE841Y01019
Equity,RFMSLTD,29 Dec 2017 to 03 Jan 2018,10,3000,#N/A,#N/A
Equity,DML,11 Dec 2017 to 14 Dec 2017,10,10000,540811,INE158R01012
Equity,TKC,11 Dec 2017 to 14 Dec 2017,10,4000,#N/A,#N/A
Equity,MRCEXIM,06 Dec 2017 to 08 Dec 2017,10,8000,#N/A,#N/A
Equity,DYNAMIC,04 Dec 2017 to 06 Dec 2017,10,3000,#N/A,#N/A
Equity,RATNABHUMI,04 Dec 2017 to 06 Dec 2017,10,2000,540796,INE821Y01011
Equity,SHARIKA,15 Nov 2017 to 17 Nov 2017,10,3000,540786,INE669Y01022
Equity,SANGHVI,10 Nov 2017 to 14 Nov 2017,10,2000,#N/A,#N/A
Equity,SHEETAL,16 Oct 2017 to 18 Oct 2017,10,1600,530525,INE786J01025
Equity,KAARYAFAC,12 Oct 2017 to 17 Oct 2017,10,3000,#N/A,#N/A
Equity,SGRL,28 Sep 2017 to 05 Oct 2017,10,3000,540737,INE414Y01015
Equity,STL,29 Sep 2017 to 05 Oct 2017,10,1000,540738,INE402Y01028
Equity,IRIS,29 Sep 2017 to 04 Oct 2017,10,4000,540735,INE864K01010
Equity,MEHAI,25 Sep 2017 to 28 Sep 2017,10,3000,540730,INE062Y01012
Equity,VANTABIO,25 Sep 2017 to 27 Sep 2017,10,3000,540729,INE695X01011
Equity,POOJA,22 Sep 2017 to 26 Sep 2017,10,3000,540727,INE973X01012
Equity,SISL,21 Sep 2017 to 26 Sep 2017,10,3000,543598,INE0LU301014
Equity,TRIDENT,21 Sep 2017 to 26 Sep 2017,10,4000,521064,INE064C01022
Equity,AKM,20 Sep 2017 to 22 Sep 2017,10,6000,540718,INE777X01017
Equity,NOURITRANS,04 Sep 2017 to 07 Sep 2017,10,4000,#N/A,#N/A
Equity,AMFL,01 Sep 2017 to 06 Sep 2017,10,8000,#N/A,#N/A
Equity,DWL,31 Aug 2017 to 04 Sep 2017,10,6000,540695,INE109Y01011
Equity,ANG,29 Aug 2017 to 31 Aug 2017,10,1600,540694,INE236W01016
Equity,SHISHIND,23 Aug 2017 to 28 Aug 2017,10,4000,540693,INE145Y01015
Equity,AMML,07 Aug 2017 to 11 Aug 2017,10,10000,#N/A,#N/A
Equity,GSTL,26 Jul 2017 to 28 Jul 2017,10,2000,540654,INE632W01016
Equity,CTCL,20 Jul 2017 to 24 Jul 2017,10,3000,540652,INE931X01010
Equity,JIGAR,18 Jul 2017 to 20 Jul 2017,10,4000,540651,INE943X01015
Equity,SALASAR,12 Jul 2017 to 17 Jul 2017,10,125,540642,INE170V01027
Equity,7NR,05 Jul 2017 to 10 Jul 2017,10,4000,540615,INE413X01035
Equity,GGENG,30 Jun 2017 to 07 Jul 2017,10,6000,540614,INE694X01030
Equity,GEL,29 Jun 2017 to 03 Jul 2017,10,3000,540613,INE721X01015
Equity,RIDDICORP,12 Jun 2017 to 15 Jun 2017,10,1000,#N/A,#N/A
Equity,YUG,18 May 2017 to 23 May 2017,10,4000,540550,INE796W01019
Equity,BHAKTI,17 May 2017 to 22 May 2017,10,6000,#N/A,#N/A
Equity,MEERA,27 Apr 2017 to 04 May 2017,10,3000,540519,INE343X01018
Equity,PGL,26 Apr 2017 to 28 Apr 2017,10,10000,#N/A,#N/A
Equity,KMS,12 Apr 2017 to 17 Apr 2017,10,4000,#N/A,#N/A
Equity,ESCORP,31 Mar 2017 to 06 Apr 2017,10,8000,540455,INE953W01016
Equity,OCTAWARE,17 Mar 2017 to 24 Mar 2017,10,1600,540416,INE208U01019
Equity,RELSTRUCT,22 Mar 2017 to 24 Mar 2017,10,3000,#N/A,#N/A
Equity,PRIMECUST,20 Mar 2017 to 23 Mar 2017,10,2000,#N/A,#N/A
Equity,MANAS,17 Mar 2017 to 22 Mar 2017,10,300,540402,INE800W01019
Equity,MAXIMUS,17 Mar 2017 to 22 Mar 2017,10,6000,540401,INE544W01021
Equity,OCEANIC,20 Mar 2017 to 22 Mar 2017,10,2000,#N/A,#N/A
Equity,CHEMCRUX ,15 Mar 2017 to 20 Mar 2017,10,8000,#N/A,#N/A
Equity,JDL,15 Mar 2017 to 17 Mar 2017,10,3000,780001,INE190P01019
Equity,SMLT,10 Mar 2017 to 17 Mar 2017,10,4000,540393,INE017W01010
Equity,IFL,07 Mar 2017 to 10 Mar 2017,10,6000,540377,INE714U01024
Equity,RMC,28 Feb 2017 to 03 Mar 2017,10,4000,540358,INE655V01019
Equity,TANVI,17 Feb 2017 to 22 Feb 2017,10,2000,540332,INE978V01015
Equity,SKL,18 Jan 2017 to 24 Jan 2017,10,10000,540269,INE459U01018
Equity,VOL,23 Dec 2016 to 28 Dec 2016,10,3000,#N/A,#N/A
Equity,AVL,28 Nov 2016 to 05 Dec 2016,10,8000,540205,INE679V01019
Equity,BINDALEXPO,30 Sep 2016 to 06 Oct 2016,10,8000,540148,INE564V01013
Equity,IGRL,30 Sep 2016 to 06 Oct 2016,10,4000,#N/A,#N/A
Equity,MHEL,30 Sep 2016 to 06 Oct 2016,10,6000,#N/A,#N/A
